recept,kategorija,podkategorija
2257,juhe in zakuhe,ostale juhe
16715,sladice,piškoti
743,sladice,pecivo
15988,mesne jedi,
18895,priloge,ostalo
14283,sladice,potice
3119,kruh,
8092,priloge,ostalo
1778,ostale jedi,
5493,sladice,pecivo
6365,sladice,ostalo
3025,mesne jedi,sesekljano meso
11194,sladice,slano pecivo
3246,priloge,riž
10238,zelenjavne jedi,
1863,napitki,alkoholni
14595,sladice,ostalo
15042,sladice,pecivo
14274,sladice,pecivo
10406,napitki,brezalkoholni
14896,sladice,pecivo
17208,sladice,pecivo
11058,otroška hrana,otroci
11429,priloge,ostalo
8221,ozimnica,sladki shranki
13292,sladice,piškoti
14643,sladice,piškoti
3892,morska hrana,raki
15747,napitki,brezalkoholni
12284,sladice,piškoti
11311,zelenjavne jedi,
4191,mesne jedi,perutnina
16974,sladice,piškoti
6716,ozimnica,pijače
11426,sladice,sladoledi
17797,sladice,pecivo
1364,sladice,pecivo
133,testenine,
11036,mesne jedi,notranji deli
15746,sladice,pecivo
10169,zelenjavne jedi,
4749,kruh,
11991,otroška hrana,otroci
10225,ozimnica,ostalo
5427,ozimnica,sladki shranki
469,sladice,potice
10130,mesne jedi,perutnina
11032,ozimnica,sladki shranki
6013,gobje jedi,
2463,testenine,
13622,juhe in zakuhe,zelenjavne juhe
11658,napitki,brezalkoholni
10366,omake,tople
1780,omake,tople
1410,mesne jedi,sesekljano meso
9805,sladice,pecivo
4399,testenine,
17486,sladice,torte
14722,sladice,ostalo
14857,sladice,pecivo
3040,sladice,ostalo
10702,priloge,krompir
18281,sladice,pudingi
19797,mesne jedi,govedina
2511,napitki,alkoholni
5247,ostale jedi,
5946,sladice,ostalo
16917,priloge,ostalo
6712,sladice,ostalo
11837,sladice,torte
7239,mesne jedi,mešano meso
3168,mesne jedi,perutnina
16388,sladice,potice
1296,sladice,pecivo
3913,ozimnica,kompoti
6971,sladice,torte
