id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed,letofoto,letoobjave,idavtorja
2482,Muffini za čokoholike,29.3.2003,"{'id': 'malakuharca', 'avtor': 'malakuharca'}",ženska,45,,157,24,22.11.2015,, pecivo,0,2015,2003,malakuharca
10373,Metino-melisin sirup,24.8.2007,"{'id': 'berny', 'avtor': 'berny'}",ženska,15,,66,5,18.7.2016,, brezalkoholni,0,2016,2007,berny
10578,Žemlje - Dafke,17.10.2007,"{'id': 'dafke', 'avtor': 'Dafke'}",moški,75,16,143,44,2.3.2015,,,0,2015,2007,dafke
2022,Linške oči,14.9.2002,"{'id': 'rebeka', 'avtor': 'Rebeka'}",ženska,,,77,35,14.12.2015,, piškoti,0,2015,2002,rebeka
12615,Moje štručke,15.5.2009,"{'id': 'Rozmarincek', 'avtor': 'anamarija1'}",spol ni določen oz. marsovec,90,4 štručke,202,35,24.1.2014,,,0,2014,2009,Rozmarincek
4543,Bela limonina pita,22.1.2005,"{'id': 'majdi', 'avtor': 'majdi'}",ženska,90,,121,16,1.1.2016,, pecivo,0,2016,2005,majdi
3152,Lunice,25.1.2004,"{'id': 'carmen', 'avtor': 'carmen'}",ženska,45,60 kosov,83,9,15.5.2016,, pecivo,0,2016,2004,carmen
11562,Polnjene paprike,20.7.2008,"{'id': 'taia', 'avtor': 'Taia'}",ženska,120,za 5-6 paprik,36,6,29.7.2016,, ostalo,0,2016,2008,taia
9494,Mini pizze,2.1.2007,"{'id': 'merrii', 'avtor': 'merrii'}",ženska,,,108,11,7.5.2013,, hladne,0,2013,2007,merrii
5510,Miške,5.10.2005,"{'id': 'piap', 'avtor': 'piap'}",ženska,,,46,6,23.2.2015,, ostalo,0,2015,2005,piap
6599,Pizza muffini - nekvašeni,15.5.2006,"{'id': 'katkad', 'avtor': 'KatkaD'}",ženska,30,12 kom.,77,20,10.3.2014,,,0,2014,2006,katkad
10247,Trojne čokoladne kocke,17.7.2007,"{'id': 'jade', 'avtor': 'jade'}",ženska,120,16 kosov,124,30,18.5.2014,, pecivo,0,2014,2007,jade
2271,Pasji smrčki,25.12.2002,"{'id': 'milojka', 'avtor': 'Milojka'}",ženska,75,,104,14,30.10.2014,, pecivo,0,2014,2002,milojka
9713,Jogurtova pita,15.2.2007,"{'id': 'ela', 'avtor': 'ela'}",ženska,75,,60,14,13.6.2016,, pecivo,0,2016,2007,ela
4972,Mafini,8.5.2005,"{'id': 'anansie', 'avtor': 'Anansie'}",ženska,,za 12 kosov,43,8,17.2.2014,, pecivo,0,2014,2005,anansie
5928,Jota moje mame,2.1.2006,"{'id': 'mojke', 'avtor': 'mojke'}",ženska,,,66,6,4.5.2014,,,0,2014,2006,mojke
1371,Štefani (Stephanie) pečenka po moje,5.10.2001,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,,,30,9,25.9.2012,, sesekljano meso,0,2012,2001,riko
3232,Miške s skuto,13.2.2004,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,90,,99,12,24.6.2014,, pecivo,0,2014,2004,riko
2889,Nočna potica,24.9.2003,"{'id': 'matic', 'avtor': 'MATIC'}",spol ni določen oz. marsovec,,,136,16,6.1.2014,, potice,0,2014,2003,matic
6439,Krhka pita za vsak okus,16.4.2006,"{'id': 'val', 'avtor': 'val'}",ženska,60,,149,20,12.2.2016,, pecivo,0,2016,2006,val
6415,Pašta fižol,13.4.2006,"{'id': 'val', 'avtor': 'val'}",ženska,60,4 osebe,47,6,5.9.2014,,,0,2014,2006,val
373,Orehovi rogljički,7.1.1998,"{'id': None, 'avtor': None}",,,,49,13,22.12.2015,, piškoti,0,2015,1998,
14695,Zdrobovi hrustavci,27.1.2011,"{'id': 'cykzs2eahazxttxp', 'avtor': 'leiiča'}",ženska,30,,33,9,23.8.2014,, cmoki,0,2014,2011,cykzs2eahazxttxp
14387,Res najbolj pravi tiramisu,9.11.2010,"{'id': 'n43g7b0hxr0h5pls', 'avtor': 'karapandža'}",moški,30,5 porcij,47,7,2.12.2014,, ostalo,0,2014,2010,n43g7b0hxr0h5pls
4142,Sarma,11.10.2004,"{'id': 'galja', 'avtor': 'galja'}",ženska,,,17,1,15.11.2008,,,0,2008,2004,galja
10079,Jogurtovo - sadna torta,18.5.2007,"{'id': 'k5k7au0hrsfu2zqd', 'avtor': 'stana.r'}",ženska,240,,75,17,17.5.2015,, torte,0,2015,2007,k5k7au0hrsfu2zqd
